match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101755,2026-02-07,5,Liga MX Clausura 2026,Queretaro FC,Leon,2,0,2.0,7.0,4.0,4.0,0.0,1.0,14.0,16.0,5.0,6.0,2.02,1.45,9.0,8.0,1.0
5101756,2026-02-07,5,Liga MX Clausura 2026,Toluca,Cruz Azul,1,1,6.0,1.0,0.0,2.0,0.0,0.0,15.0,9.0,6.0,4.0,2.62,0.79,7.0,2.0,0.0
5101757,2026-02-08,5,Liga MX Clausura 2026,Atlas,Pumas,2,2,3.0,1.0,1.0,2.0,0.0,0.0,9.0,6.0,3.0,3.0,1.69,1.26,4.0,3.0,0.0
5101758,2026-02-08,5,Liga MX Clausura 2026,Pachuca,FC Juarez,2,0,7.0,4.0,1.0,1.0,0.0,0.0,19.0,12.0,6.0,3.0,1.61,1.37,11.0,2.0,0.0
5101759,2026-02-08,5,Liga MX Clausura 2026,CF America,Monterrey,1,0,6.0,3.0,1.0,3.0,0.0,0.0,17.0,4.0,5.0,2.0,1.23,0.08,9.0,4.0,0.0
5101760,2026-02-14,6,Liga MX Clausura 2026,Puebla,Pumas,2,3,4.0,2.0,1.0,1.0,0.0,0.0,17.0,17.0,4.0,4.0,1.12,2.11,6.0,2.0,0.0
5101762,2026-02-14,6,Liga MX Clausura 2026,Toluca,Tijuana,1,0,4.0,4.0,3.0,3.0,0.0,0.0,12.0,7.0,4.0,3.0,2.0,0.28,8.0,6.0,0.0
5101763,2026-02-14,6,Liga MX Clausura 2026,Atletico de San Luis,Queretaro FC,3,0,5.0,2.0,2.0,2.0,0.0,1.0,10.0,14.0,6.0,4.0,1.86,0.93,7.0,4.0,1.0
5101765,2026-02-14,6,Liga MX Clausura 2026,Pachuca,Atlas,3,1,0.0,5.0,5.0,0.0,0.0,0.0,7.0,14.0,4.0,4.0,0.83,1.56,5.0,5.0,0.0
5101764,2026-02-15,6,Liga MX Clausura 2026,Monterrey,Leon,1,0,8.0,4.0,3.0,1.0,0.0,0.0,20.0,9.0,5.0,2.0,1.78,0.53,12.0,4.0,0.0
5101761,2026-02-15,6,Liga MX Clausura 2026,FC Juarez,Necaxa,1,2,7.0,6.0,2.0,0.0,0.0,0.0,15.0,11.0,6.0,4.0,1.36,0.68,13.0,2.0,0.0
5101766,2026-02-15,6,Liga MX Clausura 2026,Chivas,CF America,1,0,5.0,3.0,4.0,2.0,0.0,0.0,16.0,8.0,4.0,2.0,1.75,0.31,8.0,6.0,0.0
5101768,2026-02-15,6,Liga MX Clausura 2026,Cruz Azul,Tigres,2,1,2.0,3.0,3.0,2.0,0.0,0.0,18.0,9.0,6.0,7.0,1.85,0.43,5.0,5.0,0.0
5101767,2026-02-15,6,Liga MX Clausura 2026,Santos Laguna,Mazatlan FC,1,2,3.0,7.0,0.0,2.0,0.0,0.0,17.0,15.0,3.0,6.0,2.36,1.25,10.0,2.0,0.0
5101769,2026-02-21,7,Liga MX Clausura 2026,Tigres,Pachuca,1,2,3.0,5.0,2.0,0.0,1.0,0.0,9.0,14.0,2.0,5.0,0.61,1.03,8.0,2.0,1.0
5101770,2026-02-21,7,Liga MX Clausura 2026,Puebla,CF America,0,4,3.0,7.0,1.0,1.0,0.0,0.0,15.0,20.0,6.0,7.0,1.1,2.51,10.0,2.0,0.0
5101771,2026-02-21,7,Liga MX Clausura 2026,Atlas,Atletico de San Luis,3,2,4.0,0.0,3.0,5.0,0.0,1.0,21.0,9.0,7.0,3.0,3.23,1.08,4.0,8.0,1.0
5101772,2026-02-22,7,Liga MX Clausura 2026,Leon,Santos Laguna,2,1,2.0,6.0,5.0,1.0,0.0,0.0,9.0,14.0,4.0,4.0,1.08,0.88,8.0,6.0,0.0
5101773,2026-02-22,7,Liga MX Clausura 2026,Necaxa,Toluca,0,3,3.0,7.0,4.0,3.0,0.0,0.0,12.0,20.0,6.0,7.0,0.61,3.05,10.0,7.0,0.0
5101774,2026-02-22,7,Liga MX Clausura 2026,Cruz Azul,Chivas,2,1,2.0,2.0,7.0,3.0,0.0,0.0,11.0,12.0,3.0,3.0,0.65,1.15,4.0,10.0,0.0
5101777,2026-02-22,7,Liga MX Clausura 2026,Tijuana,Mazatlan FC,1,1,8.0,3.0,4.0,2.0,0.0,0.0,14.0,12.0,5.0,3.0,0.74,2.09,11.0,6.0,0.0
5101775,2026-02-22,7,Liga MX Clausura 2026,Pumas,Monterrey,2,0,4.0,8.0,0.0,0.0,0.0,0.0,14.0,25.0,6.0,10.0,1.62,1.33,12.0,0.0,0.0
5101778,2026-02-28,8,Liga MX Clausura 2026,Mazatlan FC,Pachuca,1,0,3.0,8.0,2.0,3.0,1.0,0.0,14.0,21.0,5.0,4.0,1.79,1.78,11.0,5.0,1.0
5101779,2026-02-28,8,Liga MX Clausura 2026,Queretaro FC,Santos Laguna,2,2,6.0,3.0,8.0,4.0,0.0,2.0,22.0,13.0,7.0,4.0,3.96,2.01,9.0,12.0,2.0
5101781,2026-02-28,8,Liga MX Clausura 2026,FC Juarez,Atlas,3,1,4.0,4.0,3.0,2.0,0.0,0.0,10.0,8.0,4.0,2.0,0.55,1.16,8.0,5.0,0.0
5101780,2026-02-28,8,Liga MX Clausura 2026,Tijuana,Pumas,1,1,3.0,4.0,1.0,1.0,0.0,0.0,11.0,16.0,4.0,4.0,0.82,1.88,7.0,2.0,0.0
5101782,2026-02-28,8,Liga MX Clausura 2026,Atletico de San Luis,Puebla,0,1,4.0,5.0,3.0,4.0,0.0,0.0,6.0,11.0,2.0,3.0,0.86,1.34,9.0,7.0,0.0
5101783,2026-02-28,8,Liga MX Clausura 2026,Toluca,Chivas,2,0,2.0,4.0,4.0,3.0,0.0,0.0,13.0,10.0,5.0,4.0,2.01,0.83,6.0,7.0,0.0
5101785,2026-03-01,8,Liga MX Clausura 2026,Monterrey,Cruz Azul,0,2,6.0,3.0,2.0,4.0,0.0,0.0,16.0,14.0,6.0,4.0,1.44,0.5,9.0,6.0,0.0
5101784,2026-03-01,8,Liga MX Clausura 2026,Leon,Necaxa,2,1,9.0,4.0,0.0,4.0,0.0,0.0,28.0,10.0,7.0,4.0,2.3,0.31,13.0,4.0,0.0
5101786,2026-03-01,8,Liga MX Clausura 2026,CF America,Tigres,1,4,2.0,5.0,4.0,4.0,1.0,0.0,13.0,11.0,5.0,6.0,0.87,1.63,7.0,8.0,1.0
