fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2025-02-25,premier,Premier League,England,2024/2025,Wolves,Fulham,1,2,2.74,3.36,2.74,2.05,1.85
2025-02-25,premier,Premier League,England,2024/2025,Chelsea,Southampton,4,0,1.17,8.97,14.66,1.29,3.75
2025-02-26,premier,Premier League,England,2024/2025,Brentford,Everton,1,1,2.03,3.75,3.64,1.87,2.03
2025-02-26,premier,Premier League,England,2024/2025,Man United,Ipswich,3,2,1.53,4.69,5.8,1.67,2.2
2025-02-26,premier,Premier League,England,2024/2025,Nott'm Forest,Arsenal,0,0,4.02,3.51,1.99,2.2,1.67
2025-02-26,premier,Premier League,England,2024/2025,Tottenham,Man City,0,1,3.23,4.15,2.07,1.36,3.2
2025-02-26,premier,Premier League,England,2024/2025,Liverpool,Newcastle,2,0,1.53,4.86,5.67,1.44,2.75
2025-02-27,premier,Premier League,England,2024/2025,West Ham,Leicester,2,0,1.63,4.21,5.34,1.73,2.1
2025-03-08,premier,Premier League,England,2024/2025,Nott'm Forest,Man City,1,0,3.93,3.95,1.89,1.57,2.38
2025-03-08,premier,Premier League,England,2024/2025,Brighton,Fulham,2,1,2.0,3.64,3.86,1.73,2.1
2025-03-08,premier,Premier League,England,2024/2025,Crystal Palace,Ipswich,1,0,1.5,4.56,6.67,1.73,2.1
2025-03-08,premier,Premier League,England,2024/2025,Liverpool,Southampton,3,1,1.12,10.6,18.75,1.29,3.75
2025-03-08,premier,Premier League,England,2024/2025,Brentford,Aston Villa,0,1,2.27,3.82,3.01,1.53,2.5
2025-03-08,premier,Premier League,England,2024/2025,Wolves,Everton,1,1,2.68,3.15,2.92,2.3,1.62
2025-03-09,premier,Premier League,England,2024/2025,Chelsea,Leicester,1,0,1.2,8.05,11.42,1.33,3.2
2025-03-09,premier,Premier League,England,2024/2025,Tottenham,Bournemouth,2,2,2.73,3.95,2.42,1.37,3.0
2025-03-09,premier,Premier League,England,2024/2025,Man United,Arsenal,1,1,5.61,3.65,1.71,2.15,1.62
2025-03-10,premier,Premier League,England,2024/2025,West Ham,Newcastle,0,1,3.3,3.62,2.2,1.73,2.1
2025-03-15,premier,Premier League,England,2024/2025,Everton,West Ham,1,1,2.11,3.3,3.9,2.3,1.62
2025-03-15,premier,Premier League,England,2024/2025,Ipswich,Nott'm Forest,2,4,3.88,3.64,1.99,1.87,2.03
2025-03-15,premier,Premier League,England,2024/2025,Man City,Brighton,2,2,1.67,4.55,4.62,1.44,2.75
2025-03-15,premier,Premier League,England,2024/2025,Southampton,Wolves,1,2,3.67,3.56,2.08,1.84,2.06
2025-03-15,premier,Premier League,England,2024/2025,Bournemouth,Brentford,1,2,1.77,4.21,4.29,1.44,2.75
2025-03-16,premier,Premier League,England,2024/2025,Arsenal,Chelsea,1,0,1.81,3.78,4.55,1.86,1.92
2025-03-16,premier,Premier League,England,2024/2025,Fulham,Tottenham,2,0,2.03,3.88,3.53,1.57,2.38
