equipo,elo,fecha,liga
Valencia,1500.88,2021-11-21,laliga
Vallecano,1515.13,2021-11-22,laliga
Mallorca,1483.45,2021-11-22,laliga
Ath Bilbao,1511.0,2021-11-26,laliga
Granada,1475.45,2021-11-26,laliga
Mallorca,1480.7,2021-11-27,laliga
Getafe,1456.39,2021-11-27,laliga
Villarreal,1489.09,2021-11-27,laliga
Barcelona,1517.9,2021-11-27,laliga
Alaves,1471.98,2021-11-27,laliga
Celta,1480.87,2021-11-27,laliga
Valencia,1499.2,2021-11-27,laliga
Vallecano,1516.81,2021-11-27,laliga
Real Madrid,1571.0,2021-11-28,laliga
Sevilla,1544.94,2021-11-28,laliga
Cadiz,1460.73,2021-11-28,laliga
Ath Madrid,1550.49,2021-11-28,laliga
Betis,1527.74,2021-11-28,laliga
Levante,1440.71,2021-11-28,laliga
Espanol,1500.99,2021-11-28,laliga
Sociedad,1542.39,2021-11-28,laliga
Osasuna,1497.29,2021-11-29,laliga
Elche,1464.33,2021-11-29,laliga
Real Madrid,1576.58,2021-12-01,laliga
Ath Bilbao,1505.43,2021-12-01,laliga
Granada,1482.37,2021-12-03,laliga
Alaves,1465.06,2021-12-03,laliga
Sevilla,1550.62,2021-12-04,laliga
Villarreal,1483.4,2021-12-04,laliga
Barcelona,1507.03,2021-12-04,laliga
Betis,1538.61,2021-12-04,laliga
Ath Madrid,1537.75,2021-12-04,laliga
Mallorca,1493.44,2021-12-04,laliga
Sociedad,1532.14,2021-12-04,laliga
Real Madrid,1586.83,2021-12-04,laliga
Levante,1440.1,2021-12-05,laliga
Osasuna,1497.9,2021-12-05,laliga
Vallecano,1523.45,2021-12-05,laliga
Espanol,1494.36,2021-12-05,laliga
Elche,1471.25,2021-12-05,laliga
Cadiz,1453.8,2021-12-05,laliga
Celta,1470.21,2021-12-05,laliga
Valencia,1509.87,2021-12-05,laliga
Getafe,1455.59,2021-12-06,laliga
Ath Bilbao,1506.23,2021-12-06,laliga
Mallorca,1490.81,2021-12-10,laliga
Celta,1472.84,2021-12-10,laliga
Espanol,1500.13,2021-12-11,laliga
Levante,1434.33,2021-12-11,laliga
Alaves,1462.76,2021-12-11,laliga
Getafe,1457.89,2021-12-11,laliga
Valencia,1515.99,2021-12-11,laliga
Elche,1465.13,2021-12-11,laliga
Ath Bilbao,1496.17,2021-12-11,laliga
Sevilla,1560.68,2021-12-11,laliga
Villarreal,1491.49,2021-12-12,laliga
Vallecano,1515.35,2021-12-12,laliga
Osasuna,1496.06,2021-12-12,laliga
Barcelona,1508.87,2021-12-12,laliga
Betis,1545.51,2021-12-12,laliga
Sociedad,1525.23,2021-12-12,laliga
Real Madrid,1592.72,2021-12-12,laliga
Ath Madrid,1531.86,2021-12-12,laliga
Cadiz,1452.45,2021-12-13,laliga
Granada,1483.71,2021-12-13,laliga
Celta,1480.64,2021-12-17,laliga
Espanol,1492.33,2021-12-17,laliga
Barcelona,1514.92,2021-12-18,laliga
Elche,1459.08,2021-12-18,laliga
Sevilla,1567.09,2021-12-18,laliga
Ath Madrid,1525.46,2021-12-18,laliga
Sociedad,1513.13,2021-12-18,laliga
Villarreal,1503.59,2021-12-18,laliga
Vallecano,1521.2,2021-12-18,laliga
Alaves,1456.91,2021-12-18,laliga
Granada,1491.01,2021-12-19,laliga
Mallorca,1483.51,2021-12-19,laliga
Ath Bilbao,1504.57,2021-12-19,laliga
Betis,1537.12,2021-12-19,laliga
Getafe,1465.99,2021-12-19,laliga
Osasuna,1487.96,2021-12-19,laliga
Real Madrid,1587.56,2021-12-19,laliga
Cadiz,1457.62,2021-12-19,laliga
Levante,1425.17,2021-12-20,laliga
Valencia,1525.16,2021-12-20,laliga
Villarreal,1509.59,2021-12-21,laliga
Alaves,1450.91,2021-12-21,laliga
Sevilla,1563.74,2021-12-21,laliga
Barcelona,1518.27,2021-12-21,laliga
Granada,1499.04,2021-12-22,laliga
Ath Madrid,1517.43,2021-12-22,laliga
Ath Bilbao,1495.42,2021-12-22,laliga
Real Madrid,1596.71,2021-12-22,laliga
Valencia,1512.92,2021-12-31,laliga
Espanol,1504.56,2021-12-31,laliga
Mallorca,1472.97,2022-01-02,laliga
Barcelona,1528.81,2022-01-02,laliga
Betis,1524.3,2022-01-02,laliga
Celta,1493.46,2022-01-02,laliga
Alaves,1450.44,2022-01-02,laliga
Sociedad,1513.61,2022-01-02,laliga
Ath Madrid,1524.75,2022-01-02,laliga
Vallecano,1513.88,2022-01-02,laliga
Getafe,1476.67,2022-01-02,laliga
Real Madrid,1586.02,2022-01-02,laliga
Elche,1458.01,2022-01-02,laliga
Granada,1500.11,2022-01-02,laliga
Villarreal,1514.81,2022-01-03,laliga
Levante,1419.94,2022-01-03,laliga
Osasuna,1476.7,2022-01-03,laliga
Ath Bilbao,1506.68,2022-01-03,laliga
Cadiz,1448.97,2022-01-03,laliga
Sevilla,1572.38,2022-01-03,laliga
Levante,1428.6,2022-01-08,laliga
Mallorca,1464.31,2022-01-08,laliga
Sociedad,1520.37,2022-01-08,laliga
Celta,1486.71,2022-01-08,laliga
Granada,1498.73,2022-01-08,laliga
Barcelona,1530.18,2022-01-08,laliga
Real Madrid,1591.52,2022-01-08,laliga
Valencia,1507.42,2022-01-08,laliga
Villarreal,1512.94,2022-01-09,laliga
Ath Madrid,1526.62,2022-01-09,laliga
Osasuna,1483.27,2022-01-09,laliga
Cadiz,1442.4,2022-01-09,laliga
Sevilla,1577.39,2022-01-09,laliga
Getafe,1471.66,2022-01-09,laliga
Vallecano,1512.02,2022-01-09,laliga
Betis,1526.16,2022-01-09,laliga
Alaves,1449.79,2022-01-09,laliga
Ath Bilbao,1507.32,2022-01-09,laliga
Espanol,1491.87,2022-01-10,laliga
Elche,1470.7,2022-01-10,laliga
Elche,1479.14,2022-01-16,laliga
Villarreal,1504.5,2022-01-16,laliga
Betis,1531.64,2022-01-18,laliga
Alaves,1444.31,2022-01-18,laliga
Cadiz,1441.57,2022-01-18,laliga
Espanol,1492.7,2022-01-18,laliga
Celta,1493.96,2022-01-19,laliga
Osasuna,1476.02,2022-01-19,laliga
Valencia,1507.15,2022-01-19,laliga
Sevilla,1577.67,2022-01-19,laliga
Getafe,1479.73,2022-01-20,laliga
Granada,1490.67,2022-01-20,laliga
Espanol,1482.07,2022-01-21,laliga
Betis,1542.27,2022-01-21,laliga
Sevilla,1573.49,2022-01-22,laliga
Celta,1498.14,2022-01-22,laliga
Ath Madrid,1533.49,2022-01-22,laliga
Valencia,1500.28,2022-01-22,laliga
Levante,1417.27,2022-01-22,laliga
Cadiz,1452.9,2022-01-22,laliga
Villarreal,1510.85,2022-01-22,laliga
Mallorca,1457.96,2022-01-22,laliga
Granada,1478.6,2022-01-23,laliga
Osasuna,1488.08,2022-01-23,laliga
Real Madrid,1586.73,2022-01-23,laliga
Elche,1483.94,2022-01-23,laliga
Sociedad,1517.18,2022-01-23,laliga
Getafe,1482.91,2022-01-23,laliga
Vallecano,1500.22,2022-01-23,laliga
Ath Bilbao,1519.13,2022-01-23,laliga
Alaves,1434.94,2022-01-23,laliga
Barcelona,1539.55,2022-01-23,laliga
Getafe,1488.73,2022-02-04,laliga
Levante,1411.45,2022-02-04,laliga
Celta,1505.67,2022-02-05,laliga
Vallecano,1492.69,2022-02-05,laliga
Osasuna,1488.23,2022-02-05,laliga
Sevilla,1573.34,2022-02-05,laliga
Elche,1490.16,2022-02-05,laliga
Alaves,1428.72,2022-02-05,laliga
Mallorca,1465.29,2022-02-05,laliga
Cadiz,1445.57,2022-02-05,laliga
Betis,1529.61,2022-02-06,laliga
Villarreal,1523.51,2022-02-06,laliga
Real Madrid,1591.61,2022-02-06,laliga
Granada,1473.71,2022-02-06,laliga
Valencia,1498.54,2022-02-06,laliga
Sociedad,1518.92,2022-02-06,laliga
Barcelona,1546.87,2022-02-06,laliga
Ath Madrid,1526.17,2022-02-06,laliga
Ath Bilbao,1525.66,2022-02-07,laliga
Espanol,1475.54,2022-02-07,laliga
Sevilla,1578.79,2022-02-11,laliga
Elche,1484.7,2022-02-11,laliga
Cadiz,1445.01,2022-02-12,laliga
Celta,1506.22,2022-02-12,laliga
Villarreal,1523.18,2022-02-12,laliga
Real Madrid,1591.95,2022-02-12,laliga
Vallecano,1480.66,2022-02-12,laliga
Osasuna,1500.27,2022-02-12,laliga
Ath Madrid,1532.72,2022-02-12,laliga
Getafe,1482.18,2022-02-12,laliga
Alaves,1438.16,2022-02-13,laliga
Valencia,1489.1,2022-02-13,laliga
